fish_id,group,became_sensitized,state_4h,state_20h,truth_state_4h,truth_state_20h,risk_max,in_test,pred_sensitized@all,correct
F057,se_core,0,0,0,0,0,0.018347544892949628,False,0,1
F058,se_core,0,0,0,0,0,5.951343260503862e-05,False,0,1
F059,se_core,1,1,1,1,1,0.9999999924278438,True,1,1
F060,se_core,0,0,1,0,1,0.9955622348283601,True,1,0
F061,se_core,0,0,0,0,0,1.4248788773666698e-05,True,0,1
F062,se_core,1,0,1,0,1,0.9999998615042329,True,1,1
F063,se_core,1,0,0,0,0,0.002234229330636494,False,0,0
F064,se_core,0,0,0,0,0,0.0012147838767870786,True,0,1
F065,se_core,0,0,0,0,0,1.7129366595692883e-10,False,0,1
F066,se_core,0,0,0,0,0,4.948532451392058e-05,False,0,1
F067,se_core,1,0,1,0,1,0.9978041785767802,True,1,1
F068,se_core,0,0,0,0,0,0.002621545346170204,False,0,1
F069,se_core,1,0,1,0,1,0.9954687801721718,False,1,1
F070,se_core,0,0,0,0,0,0.002286619327983052,False,0,1
F071,se_core,0,0,0,0,0,0.0002318991738897249,True,0,1
F072,se_vpa,1,0,0,0,0,1.8854573860080642e-06,False,0,0
F073,se_vpa,1,0,0,0,0,0.00030320442667103054,False,0,0
F074,se_vpa,0,0,0,0,0,8.52222897948682e-05,False,0,1
F075,se_vpa,0,0,0,0,0,0.00028804329703071847,False,0,1
F076,se_vpa,0,0,0,0,0,0.6175700287518332,True,0,1
F077,se_vpa,0,0,0,0,0,0.004550100915486942,False,0,1
F078,se_vpa,0,0,0,0,0,6.704772683973714e-10,False,0,1
F079,se_vpa,0,0,0,0,0,0.0010144421664031438,False,0,1
F080,se_vpa,1,1,1,1,1,0.9999998809918562,False,1,1
F081,se_vpa,0,0,0,0,0,5.407999443465729e-07,True,0,1
F082,se_vpa,0,0,0,0,0,0.008627987322274214,True,0,1
F083,se_vpa,1,0,0,0,0,0.009758492191720997,True,0,0
F084,se_vpa,1,0,1,0,1,0.9608131234168752,False,1,1
F085,se_vpa,0,0,0,0,0,0.00022555493800316778,False,0,1
F086,se_vpa,0,0,0,0,0,2.1585351285772197e-07,False,0,1
F087,se_vpa,0,0,0,0,0,0.06789446662203334,False,0,1
F088,se_vpa,0,1,2,1,2,1.0000000000000004,True,1,0
F089,se_vpa,0,0,0,0,0,0.01495332135555458,False,0,1
F090,se_vpa,0,0,0,0,0,0.002307671249900954,True,0,1
F091,se_vpa,1,0,0,0,0,5.181573612035683e-05,True,0,0
F092,se_vpa,0,0,0,0,0,0.002533240877241043,True,0,1
F093,se_vpa,0,0,1,0,1,0.9852711101679701,False,1,0
F094,se_vpa,0,0,0,0,0,0.00019731675463058128,True,0,1
F095,se_vpa,0,0,0,0,0,1.3148800477189311e-05,False,0,1
F096,se_vpa,0,0,0,0,0,6.2240488619108375e-06,False,0,1
F097,se_vpa,1,0,0,0,0,1.579106991212806e-06,False,0,0
F098,se_vpa,0,0,1,0,0,0.6815282775620108,False,0,1
F099,se_vpa,0,0,0,0,0,0.026948523083372082,False,0,1
F100,se_vpa,0,0,0,0,0,5.730234459713604e-10,False,0,1
F101,se_vpa,0,0,0,0,0,0.0005909240623564158,False,0,1
F102,se_vehicle,1,0,1,0,1,0.9999997323023194,False,1,1
F103,se_vehicle,0,0,0,0,0,2.9622143660370728e-05,False,0,1
F104,se_vehicle,1,0,0,0,1,0.07216861432338945,True,0,0
F105,se_vehicle,1,0,1,0,1,0.9998203920876034,False,1,1
F106,se_vehicle,1,0,1,0,1,0.9416520095854223,True,1,1
F107,se_vehicle,1,0,0,0,0,0.000269595220424081,False,0,0
F108,se_vehicle,1,1,1,1,1,0.9999999999938556,False,1,1
F109,se_vehicle,0,0,0,0,0,5.8540254875465664e-09,False,0,1
F110,se_vehicle,1,0,0,0,0,1.0501197419834258e-05,True,0,0
F111,se_vehicle,1,0,0,0,0,0.00290957918702678,False,0,0
F112,se_vehicle,0,0,0,0,0,0.4028438014393313,True,0,1
F113,se_vehicle,1,0,1,0,1,0.9746085806247777,True,1,1
F114,se_vehicle,0,0,0,0,0,4.3847359849846313e-10,True,0,1
F115,se_vehicle,1,0,0,0,0,2.2300496420052746e-06,False,0,0
F116,se_vehicle,1,1,2,1,2,0.9999999999999993,False,1,1
F117,se_vehicle,0,1,1,1,1,0.9999966400692728,False,1,0
F118,se_vehicle,1,0,1,0,1,0.9999994905800397,False,1,1
F119,se_vehicle,1,1,1,1,1,0.9999999069852848,False,1,1
F120,se_vehicle,1,0,1,0,1,0.9994257311878633,False,1,1
F121,se_vehicle,1,0,0,0,0,0.0002775134831993003,False,0,0
F122,se_vehicle,0,0,0,0,0,7.869632386624119e-05,False,0,1
F123,se_vehicle,0,1,1,1,1,0.9999999998454374,True,1,0
F124,se_vehicle,0,1,1,1,1,0.9999121553061067,False,1,0
F125,se_vehicle,0,0,0,0,0,1.3885146547496611e-06,False,0,1
F126,se_vehicle,1,1,2,1,2,0.9999999999999993,False,1,1
F127,se_vehicle,1,1,2,1,2,1.0000000000000007,False,1,1
F128,se_vehicle,1,1,1,1,1,0.999999999645528,True,1,1
