fish_id,group,batch,clutch_id,plate_id,well_id,tbi_dpf,dpf,days_post_tbi,hours_post_tbi,n_weight_drops,nominal_peak_pressure_kpa,measured_peak_pressure_kpa,cumulative_pressure_burden_kpa_hits,channel,electrode_target,electrode_impedance_mohm,rms_noise_mv,electrode_shift_pct,qc_pass,sampling_rate_hz,recording_duration_min,artifact_fraction,recording_start_utc,lfp_variance_uv2,lfp_kurtosis,lfp_seizure_event_rate_per_h,lfp_fourth_power_mean_uv4
LZTBI-0013,sham,1,CL01,P01,B03,3,5,2,48,0,0,0.0,0.0,13,forebrain,2.9,0.0213,14.6,True,3000,30,0.0101,2026-07-15 14:00:00,822.1844,3.9523,0,2451620.2202
LZTBI-0013,sham,1,CL01,P01,B03,3,6,3,72,0,0,0.0,0.0,13,forebrain,2.96,0.0148,3.6,True,3000,30,0.0165,2026-07-16 14:00:00,535.5953,4.3639,0,1276045.7806
LZTBI-0014,tbi_moderate,1,CL01,P01,B04,3,4,1,24,1,214,201.6,201.6,14,forebrain,3.09,0.0165,1.7,True,3000,30,0.0226,2026-07-14 14:00:00,590.0623,4.0638,0,1395990.0792
LZTBI-0014,tbi_moderate,1,CL01,P01,B04,3,5,2,48,1,214,201.6,201.6,14,forebrain,3.03,0.0189,18.1,True,3000,30,0.0155,2026-07-15 14:00:00,706.0188,4.6311,0,2189507.474
LZTBI-0014,tbi_moderate,1,CL01,P01,B04,3,6,3,72,1,214,201.6,201.6,14,forebrain,2.96,0.0158,7.4,True,3000,30,0.0364,2026-07-16 14:00:00,510.3017,5.2478,0,1309343.5184
LZTBI-0015,tbi_moderate,1,CL01,P01,B05,3,4,1,24,1,214,201.6,201.6,15,forebrain,2.82,0.0173,1.6,True,3000,30,0.0181,2026-07-14 14:00:00,778.2437,4.6033,0,2059645.8741
LZTBI-0015,tbi_moderate,1,CL01,P01,B05,3,5,2,48,1,214,201.6,201.6,15,forebrain,2.87,0.0166,20.7,True,3000,30,0.0278,2026-07-15 14:00:00,784.5968,4.9693,0,2538941.3534
LZTBI-0015,tbi_moderate,1,CL01,P01,B05,3,6,3,72,1,214,201.6,201.6,15,forebrain,2.77,0.016,16.0,True,3000,30,0.0293,2026-07-16 14:00:00,944.1022,6.5468,0,4302261.3368
LZTBI-0016,tbi_moderate,1,CL01,P01,B06,3,4,1,24,1,214,201.6,201.6,16,forebrain,2.94,0.023,13.1,True,3000,30,0.0096,2026-07-14 14:00:00,1347.2791,5.4271,0,7275374.01
LZTBI-0016,tbi_moderate,1,CL01,P01,B06,3,5,2,48,1,214,201.6,201.6,16,forebrain,2.98,0.0153,9.8,True,3000,30,0.0304,2026-07-15 14:00:00,678.4483,6.029,0,2772435.0174
LZTBI-0016,tbi_moderate,1,CL01,P01,B06,3,6,3,72,1,214,201.6,201.6,16,forebrain,2.92,0.0235,11.7,True,3000,30,0.0273,2026-07-16 14:00:00,1561.981,5.887,0,13694894.6206
LZTBI-0017,tbi_high,1,CL01,P01,B07,3,4,1,24,1,318,333.7,333.7,1,forebrain,2.99,0.0192,18.6,True,3000,30,0.0324,2026-07-14 14:35:00,866.926,4.6609,0,3215752.7349
LZTBI-0017,tbi_high,1,CL01,P01,B07,3,5,2,48,1,318,333.7,333.7,1,forebrain,2.94,0.0125,9.8,True,3000,30,0.0141,2026-07-15 14:35:00,499.4072,6.0241,0,1467742.7829
LZTBI-0017,tbi_high,1,CL01,P01,B07,3,6,3,72,1,318,333.7,333.7,1,forebrain,2.91,0.0188,7.5,True,3000,30,0.023,2026-07-16 14:35:00,1304.0675,6.6172,0,10669654.6593
LZTBI-0018,tbi_moderate,1,CL01,P01,B08,3,4,1,24,1,214,201.6,201.6,2,forebrain,2.83,0.0156,1.6,True,3000,30,0.0206,2026-07-14 14:35:00,558.9721,4.246,0,1077482.6763
LZTBI-0018,tbi_moderate,1,CL01,P01,B08,3,5,2,48,1,214,201.6,201.6,2,forebrain,2.89,0.0225,9.9,True,3000,30,0.038,2026-07-15 14:35:00,1356.2173,4.7922,0,7134140.9579
LZTBI-0019,tbi_low,1,CL01,P01,B09,3,4,1,24,1,112,117.1,117.1,3,forebrain,2.72,0.0154,3.4,True,3000,30,0.0293,2026-07-14 14:35:00,579.4992,5.584,0,1425253.4791
LZTBI-0019,tbi_low,1,CL01,P01,B09,3,5,2,48,1,112,117.1,117.1,3,forebrain,2.82,0.0174,26.1,True,3000,30,0.0102,2026-07-15 14:35:00,773.2554,5.7074,0,3189914.2142
LZTBI-0019,tbi_low,1,CL01,P01,B09,3,6,3,72,1,112,117.1,117.1,3,forebrain,2.58,0.0141,19.4,True,3000,30,0.0195,2026-07-16 14:35:00,1689.1364,7.756,4,20975160.7782
LZTBI-0020,tbi_high,1,CL01,P01,B10,3,4,1,24,1,318,333.7,333.7,4,forebrain,3.17,0.0169,8.2,True,3000,30,0.0154,2026-07-14 14:35:00,1515.2391,8.004,2,18847875.2161
LZTBI-0020,tbi_high,1,CL01,P01,B10,3,5,2,48,1,318,333.7,333.7,4,forebrain,3.08,0.0167,13.6,True,3000,30,0.0248,2026-07-15 14:35:00,1892.699,8.8192,2,23224101.8269
LZTBI-0020,tbi_high,1,CL01,P01,B10,3,6,3,72,1,318,333.7,333.7,4,forebrain,3.32,0.0155,25.3,True,3000,30,0.022,2026-07-16 14:35:00,1602.7404,8.3959,2,21479240.8139
LZTBI-0021,tbi_low,1,CL01,P01,C01,3,4,1,24,1,112,117.1,117.1,5,forebrain,3.14,0.0169,16.3,True,3000,30,0.0335,2026-07-14 14:35:00,687.7701,5.3279,0,2469354.2927
LZTBI-0021,tbi_low,1,CL01,P01,C01,3,5,2,48,1,112,117.1,117.1,5,forebrain,3.11,0.0175,18.5,True,3000,30,0.0242,2026-07-15 14:35:00,1185.637,5.5092,2,6327652.8025
LZTBI-0022,tbi_low,1,CL01,P01,C02,3,4,1,24,1,112,117.1,117.1,6,forebrain,2.85,0.0085,6.1,True,3000,30,0.0208,2026-07-14 14:35:00,150.0,2.7211,0,100000.0
LZTBI-0022,tbi_low,1,CL01,P01,C02,3,5,2,48,1,112,117.1,117.1,6,forebrain,2.92,0.0214,8.9,True,3000,30,0.0285,2026-07-15 14:35:00,609.3438,2.7204,0,974196.98
LZTBI-0022,tbi_low,1,CL01,P01,C02,3,6,3,72,1,112,117.1,117.1,6,forebrain,2.98,0.0085,13.5,True,3000,30,0.0352,2026-07-16 14:35:00,179.3366,3.6379,0,100000.0
LZTBI-0023,tbi_moderate,1,CL01,P01,C03,3,4,1,24,1,214,201.6,201.6,7,forebrain,2.92,0.0198,4.3,True,3000,30,0.0264,2026-07-14 14:35:00,821.0666,4.6241,0,2717902.13
LZTBI-0023,tbi_moderate,1,CL01,P01,C03,3,5,2,48,1,214,201.6,201.6,7,forebrain,3.06,0.0153,16.7,True,3000,30,0.0155,2026-07-15 14:35:00,474.9655,4.1151,0,905270.8797
LZTBI-0023,tbi_moderate,1,CL01,P01,C03,3,6,3,72,1,214,201.6,201.6,7,forebrain,2.74,0.0183,21.3,True,3000,30,0.0167,2026-07-16 14:35:00,642.8058,5.323,0,2246201.1712
LZTBI-0024,tbi_high,1,CL01,P01,C04,3,4,1,24,1,318,333.7,333.7,8,forebrain,3.17,0.0156,4.0,True,3000,30,0.0185,2026-07-14 14:35:00,1546.3731,7.4156,2,13725345.8502
LZTBI-0024,tbi_high,1,CL01,P01,C04,3,5,2,48,1,318,333.7,333.7,8,forebrain,3.09,0.0172,7.9,True,3000,30,0.0276,2026-07-15 14:35:00,1243.2679,7.8901,0,9144674.688
LZTBI-0024,tbi_high,1,CL01,P01,C04,3,6,3,72,1,318,333.7,333.7,8,forebrain,3.31,0.0147,8.3,True,3000,30,0.0249,2026-07-16 14:35:00,2739.9627,9.3525,6,56101447.5224
LZTBI-0025,tbi_moderate,1,CL01,P01,C05,3,4,1,24,1,214,201.6,201.6,9,forebrain,3.08,0.0235,17.8,True,3000,30,0.013,2026-07-14 14:35:00,1240.1145,5.0744,0,7802555.1789
LZTBI-0025,tbi_moderate,1,CL01,P01,C05,3,5,2,48,1,214,201.6,201.6,9,forebrain,2.99,0.0143,7.6,True,3000,30,0.0295,2026-07-15 14:35:00,1369.9323,6.8347,2,10242198.4822
LZTBI-0025,tbi_moderate,1,CL01,P01,C05,3,6,3,72,1,214,201.6,201.6,9,forebrain,2.88,0.0235,2.5,True,3000,30,0.021,2026-07-16 14:35:00,1973.3252,6.8342,0,26848276.7192
LZTBI-0026,tbi_moderate,1,CL01,P01,C06,3,4,1,24,1,214,201.6,201.6,10,forebrain,3.12,0.0157,8.5,True,3000,30,0.0313,2026-07-14 14:35:00,360.1132,3.6797,0,448117.6533
LZTBI-0026,tbi_moderate,1,CL01,P01,C06,3,5,2,48,1,214,201.6,201.6,10,forebrain,2.96,0.0207,12.1,True,3000,30,0.0339,2026-07-15 14:35:00,896.9104,4.1359,0,2966101.1266
LZTBI-0027,tbi_high,1,CL01,P01,C07,3,4,1,24,1,318,333.7,333.7,11,forebrain,2.7,0.0199,10.7,True,3000,30,0.0321,2026-07-14 14:35:00,1369.0639,6.1346,0,11371794.3426
LZTBI-0027,tbi_high,1,CL01,P01,C07,3,5,2,48,1,318,333.7,333.7,11,forebrain,2.71,0.0113,10.7,True,3000,30,0.0233,2026-07-15 14:35:00,745.2296,6.9499,0,2984724.1663
LZTBI-0027,tbi_high,1,CL01,P01,C07,3,6,3,72,1,318,333.7,333.7,11,forebrain,2.76,0.0206,8.7,True,3000,30,0.0181,2026-07-16 14:35:00,2106.4203,8.8274,2,28442284.5738
LZTBI-0028,tbi_low,1,CL01,P01,C08,3,4,1,24,1,112,117.1,117.1,12,forebrain,2.73,0.0186,5.9,True,3000,30,0.0252,2026-07-14 14:35:00,463.3724,3.5073,0,563843.6935
LZTBI-0028,tbi_low,1,CL01,P01,C08,3,5,2,48,1,112,117.1,117.1,12,forebrain,2.84,0.0125,2.7,True,3000,30,0.028,2026-07-15 14:35:00,238.8561,2.4291,0,121469.4613
LZTBI-0028,tbi_low,1,CL01,P01,C08,3,6,3,72,1,112,117.1,117.1,12,forebrain,2.52,0.0179,4.9,True,3000,30,0.0261,2026-07-16 14:35:00,518.1652,3.1888,0,729362.5936
LZTBI-0029,tbi_low,1,CL01,P01,C09,3,4,1,24,1,112,117.1,117.1,13,forebrain,3.05,0.0191,18.7,True,3000,30,0.0347,2026-07-14 14:35:00,656.0523,3.4307,0,1203519.5964
LZTBI-0029,tbi_low,1,CL01,P01,C09,3,5,2,48,1,112,117.1,117.1,13,forebrain,3.11,0.0125,7.4,True,3000,30,0.0301,2026-07-15 14:35:00,402.1473,5.434,0,781705.7499
LZTBI-0029,tbi_low,1,CL01,P01,C09,3,6,3,72,1,112,117.1,117.1,13,forebrain,3.17,0.0185,1.9,True,3000,30,0.0254,2026-07-16 14:35:00,797.209,5.3052,0,3399629.1128
LZTBI-0030,sham,1,CL01,P01,C10,3,4,1,24,0,0,0.0,0.0,14,forebrain,2.85,0.0118,8.7,True,3000,30,0.0329,2026-07-14 14:35:00,276.975,3.0631,0,212733.9338
LZTBI-0030,sham,1,CL01,P01,C10,3,5,2,48,0,0,0.0,0.0,14,forebrain,2.84,0.019,8.1,True,3000,30,0.0283,2026-07-15 14:35:00,471.5404,2.4657,0,498600.2709
LZTBI-0030,sham,1,CL01,P01,C10,3,6,3,72,0,0,0.0,0.0,14,forebrain,2.92,0.0102,3.1,True,3000,30,0.0188,2026-07-16 14:35:00,150.0,3.0599,0,100000.0
LZTBI-0031,tbi_moderate,1,CL01,P01,D01,3,4,1,24,1,214,201.6,201.6,15,forebrain,2.89,0.0162,1.0,True,3000,30,0.0378,2026-07-14 14:35:00,452.8101,3.8816,0,665892.034
LZTBI-0031,tbi_moderate,1,CL01,P01,D01,3,5,2,48,1,214,201.6,201.6,15,forebrain,2.9,0.0182,18.4,True,3000,30,0.0177,2026-07-15 14:35:00,597.3685,4.5479,0,1331843.926
LZTBI-0032,sham,1,CL01,P01,D02,3,4,1,24,0,0,0.0,0.0,16,forebrain,2.75,0.0195,22.1,True,3000,30,0.0299,2026-07-14 14:35:00,730.729,3.7831,0,1800503.2166
LZTBI-0032,sham,1,CL01,P01,D02,3,5,2,48,0,0,0.0,0.0,16,forebrain,2.64,0.0107,4.4,True,3000,30,0.0235,2026-07-15 14:35:00,239.5346,4.1209,0,198667.5247
LZTBI-0032,sham,1,CL01,P01,D02,3,6,3,72,0,0,0.0,0.0,16,forebrain,2.54,0.0194,2.0,True,3000,30,0.0171,2026-07-16 14:35:00,722.1768,4.6635,0,2250021.8491
LZTBI-0033,tbi_moderate,1,CL01,P01,D03,3,4,1,24,1,214,201.6,201.6,1,forebrain,3.17,0.0178,16.8,True,3000,30,0.03,2026-07-14 15:00:00,799.8533,4.2946,0,2352588.8908
LZTBI-0033,tbi_moderate,1,CL01,P01,D03,3,5,2,48,1,214,201.6,201.6,1,forebrain,3.16,0.0118,11.2,True,3000,30,0.0122,2026-07-15 15:00:00,983.7484,6.582,2,5832569.7735
LZTBI-0033,tbi_moderate,1,CL01,P01,D03,3,6,3,72,1,214,201.6,201.6,1,forebrain,3.14,0.0296,11.1,True,3000,30,0.0097,2026-07-16 15:00:00,2240.3509,5.7921,0,25544347.4373
LZTBI-0034,tbi_moderate,1,CL01,P01,D04,3,4,1,24,1,214,201.6,201.6,2,forebrain,3.0,0.0166,11.2,True,3000,30,0.0291,2026-07-14 15:00:00,455.5959,3.1605,0,601386.3938
LZTBI-0034,tbi_moderate,1,CL01,P01,D04,3,5,2,48,1,214,201.6,201.6,2,forebrain,2.93,0.0172,2.9,True,3000,30,0.0208,2026-07-15 15:00:00,525.3714,4.0573,0,977902.527
LZTBI-0034,tbi_moderate,1,CL01,P01,D04,3,6,3,72,1,214,201.6,201.6,2,forebrain,3.1,0.0157,1.3,True,3000,30,0.0162,2026-07-16 15:00:00,421.8433,3.5067,0,592706.407
LZTBI-0035,sham,1,CL01,P01,D05,3,4,1,24,0,0,0.0,0.0,3,forebrain,2.99,0.0256,20.2,True,3000,30,0.033,2026-07-14 15:00:00,974.1568,4.1262,0,3885157.8183
LZTBI-0035,sham,1,CL01,P01,D05,3,5,2,48,0,0,0.0,0.0,3,forebrain,2.97,0.0129,4.6,True,3000,30,0.014,2026-07-15 15:00:00,304.5383,3.9233,0,363513.4221
LZTBI-0035,sham,1,CL01,P01,D05,3,6,3,72,0,0,0.0,0.0,3,forebrain,2.97,0.0256,8.8,True,3000,30,0.0338,2026-07-16 15:00:00,978.9345,3.9948,0,3418536.2601
LZTBI-0036,sham,1,CL01,P01,D06,3,4,1,24,0,0,0.0,0.0,4,forebrain,2.73,0.0146,7.1,True,3000,30,0.0271,2026-07-14 15:00:00,393.4926,4.0741,0,608352.6242
LZTBI-0036,sham,1,CL01,P01,D06,3,5,2,48,0,0,0.0,0.0,4,forebrain,2.67,0.0221,4.1,True,3000,30,0.0197,2026-07-15 15:00:00,781.5966,3.9737,0,2169677.6678
LZTBI-0036,sham,1,CL01,P01,D06,3,6,3,72,0,0,0.0,0.0,4,forebrain,2.63,0.0152,25.0,True,3000,30,0.0126,2026-07-16 15:00:00,469.9277,3.8652,0,889485.2111
LZTBI-0037,tbi_low,1,CL01,P01,D07,3,4,1,24,1,112,117.1,117.1,5,forebrain,2.83,0.0219,2.1,True,3000,30,0.0283,2026-07-14 15:00:00,656.6777,3.344,0,1265201.7651
LZTBI-0037,tbi_low,1,CL01,P01,D07,3,5,2,48,1,112,117.1,117.1,5,forebrain,2.83,0.0159,20.4,True,3000,30,0.0366,2026-07-15 15:00:00,360.2605,2.8449,0,363463.1763
LZTBI-0037,tbi_low,1,CL01,P01,D07,3,6,3,72,1,112,117.1,117.1,5,forebrain,2.9,0.022,16.0,True,3000,30,0.0275,2026-07-16 15:00:00,774.3914,3.7584,0,2101968.7819
LZTBI-0038,tbi_low,1,CL01,P01,D08,3,4,1,24,1,112,117.1,117.1,6,forebrain,3.36,0.014,0.8,True,3000,30,0.0295,2026-07-14 15:00:00,534.0627,5.4023,0,1264187.1086
LZTBI-0038,tbi_low,1,CL01,P01,D08,3,5,2,48,1,112,117.1,117.1,6,forebrain,3.04,0.0175,15.8,True,3000,30,0.0241,2026-07-15 15:00:00,694.6256,5.1709,0,2239570.0014
LZTBI-0038,tbi_low,1,CL01,P01,D08,3,6,3,72,1,112,117.1,117.1,6,forebrain,3.04,0.0149,18.9,True,3000,30,0.0229,2026-07-16 15:00:00,633.8345,5.4606,0,2036912.0485
LZTBI-0039,sham,1,CL01,P01,D09,3,4,1,24,0,0,0.0,0.0,7,forebrain,2.92,0.017,18.6,True,3000,30,0.0261,2026-07-14 15:00:00,400.5604,3.3145,0,475770.9796
LZTBI-0039,sham,1,CL01,P01,D09,3,5,2,48,0,0,0.0,0.0,7,forebrain,2.95,0.0165,15.0,True,3000,30,0.0341,2026-07-15 15:00:00,336.2672,2.4529,0,188608.5629
LZTBI-0039,sham,1,CL01,P01,D09,3,6,3,72,0,0,0.0,0.0,7,forebrain,2.46,0.0175,10.0,True,3000,30,0.0136,2026-07-16 15:00:00,436.9916,3.1517,0,519408.6446
LZTBI-0040,tbi_low,1,CL01,P01,D10,3,4,1,24,1,112,117.1,117.1,8,forebrain,2.99,0.0218,18.2,True,3000,30,0.0367,2026-07-14 15:00:00,997.2879,5.4566,0,4680116.2759
LZTBI-0040,tbi_low,1,CL01,P01,D10,3,5,2,48,1,112,117.1,117.1,8,forebrain,3.01,0.0085,3.9,True,3000,30,0.0167,2026-07-15 15:00:00,712.9531,6.6999,2,3328470.2108
LZTBI-0040,tbi_low,1,CL01,P01,D10,3,6,3,72,1,112,117.1,117.1,8,forebrain,3.01,0.0221,1.2,True,3000,30,0.0434,2026-07-16 15:00:00,1522.4838,6.1709,0,12535728.6791
LZTBI-0041,tbi_high,1,CL02,P01,E01,3,4,1,24,1,318,333.7,333.7,9,forebrain,3.04,0.0194,7.7,True,3000,30,0.0285,2026-07-14 15:00:00,1973.7448,7.2452,2,24036314.7695
LZTBI-0041,tbi_high,1,CL02,P01,E01,3,5,2,48,1,318,333.7,333.7,9,forebrain,3.11,0.0155,7.8,True,3000,30,0.0215,2026-07-15 15:00:00,1950.5779,9.2511,4,26930044.5832
LZTBI-0041,tbi_high,1,CL02,P01,E01,3,6,3,72,1,318,333.7,333.7,9,forebrain,2.93,0.0177,3.1,True,3000,30,0.0166,2026-07-16 15:00:00,1669.1398,9.0704,2,23477502.8721
LZTBI-0042,tbi_high,1,CL02,P01,E02,3,4,1,24,1,318,333.7,333.7,10,forebrain,3.14,0.0191,1.3,True,3000,30,0.0293,2026-07-14 15:00:00,2175.1037,7.8283,4,25184819.4196
LZTBI-0042,tbi_high,1,CL02,P01,E02,3,5,2,48,1,318,333.7,333.7,10,forebrain,3.15,0.0107,15.2,True,3000,30,0.0331,2026-07-15 15:00:00,693.5655,7.0752,0,2703230.5639
LZTBI-0042,tbi_high,1,CL02,P01,E02,3,6,3,72,1,318,333.7,333.7,10,forebrain,3.06,0.0186,11.7,True,3000,30,0.0304,2026-07-16 15:00:00,2130.9678,7.7173,2,29686021.0779
LZTBI-0043,tbi_high,1,CL02,P01,E03,3,4,1,24,1,318,333.7,333.7,11,forebrain,3.29,0.013,5.5,True,3000,30,0.0309,2026-07-14 15:00:00,323.3746,4.1404,0,391137.2811
LZTBI-0043,tbi_high,1,CL02,P01,E03,3,5,2,48,1,318,333.7,333.7,11,forebrain,3.33,0.0185,8.8,True,3000,30,0.0218,2026-07-15 15:00:00,690.8643,4.8606,0,2233410.7411
