fish_id,group,batch,clutch_id,plate_id,well_id,tbi_dpf,dpf,days_post_tbi,hours_post_tbi,n_weight_drops,nominal_peak_pressure_kpa,measured_peak_pressure_kpa,cumulative_pressure_burden_kpa_hits,channel,electrode_target,electrode_impedance_mohm,rms_noise_mv,electrode_shift_pct,qc_pass,sampling_rate_hz,recording_duration_min,artifact_fraction,lfp_mean_uv,lfp_variance_uv2,lfp_skewness,lfp_kurtosis,lfp_fourth_power_mean_uv4,lfp_seizure_event_rate_per_h,lfp_ica_complexity,is_synthetic
LZTBI-0005,tbi_low,1,CL01,P01,A05,3,4,1,24,1,112,117.1,117.1,5,forebrain,2.77,0.0151,4.0,True,3000,30,0.0127,1.8389,574.6922,0.5201,4.5079,1400555.4346,0,0.7703,False
LZTBI-0005,tbi_low,1,CL01,P01,A05,3,5,2,48,1,112,117.1,117.1,5,forebrain,2.76,0.0174,11.2,True,3000,30,0.0355,6.169,773.286,0.597,5.3991,2586488.8101,0,0.6713,False
LZTBI-0005,tbi_low,1,CL01,P01,A05,3,6,3,72,1,112,117.1,117.1,5,forebrain,2.85,0.0138,14.7,True,3000,30,0.0274,7.496,645.0333,0.5712,6.1867,2175125.9657,0,0.5724,False
LZTBI-0006,sham,1,CL01,P01,A06,3,4,1,24,0,0,0.0,0.0,6,forebrain,3.03,0.0125,2.1,True,3000,30,0.0132,-0.4118,248.0322,-0.0555,2.9262,122413.2723,0,0.9683,False
LZTBI-0006,sham,1,CL01,P01,A06,3,5,2,48,0,0,0.0,0.0,6,forebrain,3.04,0.0174,14.7,True,3000,30,0.0245,2.1951,442.7411,0.6795,3.1105,530319.4488,0,0.9784,False
LZTBI-0006,sham,1,CL01,P01,A06,3,6,3,72,0,0,0.0,0.0,6,forebrain,2.95,0.0133,11.0,True,3000,30,0.0295,1.0421,218.7567,0.1832,3.5685,124785.8007,0,0.8993,False
LZTBI-0007,tbi_moderate,1,CL01,P01,A07,3,4,1,24,1,214,201.6,201.6,7,forebrain,3.24,0.0164,25.4,True,3000,30,0.0171,1.39,533.6966,0.7319,4.265,1063374.8237,0,0.8389,False
LZTBI-0007,tbi_moderate,1,CL01,P01,A07,3,5,2,48,1,214,201.6,201.6,7,forebrain,3.26,0.0175,5.8,True,3000,30,0.0377,4.0946,551.5409,0.2562,3.9168,1125451.4414,0,0.7797,False
LZTBI-0007,tbi_moderate,1,CL01,P01,A07,3,6,3,72,1,214,201.6,201.6,7,forebrain,3.26,0.0171,0.9,True,3000,30,0.0291,2.8384,647.8373,0.2755,4.265,1875954.2637,0,0.7486,False
LZTBI-0008,tbi_low,1,CL01,P01,A08,3,4,1,24,1,112,117.1,117.1,8,forebrain,2.73,0.0224,8.7,True,3000,30,0.0175,2.6233,927.2101,0.2666,3.8119,2228450.9692,0,0.8366,False
LZTBI-0008,tbi_low,1,CL01,P01,A08,3,5,2,48,1,112,117.1,117.1,8,forebrain,2.74,0.0141,14.1,True,3000,30,0.0264,4.2166,448.8472,0.5776,5.278,961132.5399,0,0.6822,False
LZTBI-0008,tbi_low,1,CL01,P01,A08,3,6,3,72,1,112,117.1,117.1,8,forebrain,2.76,0.0261,1.1,True,3000,30,0.0346,8.7666,1704.9876,0.5611,5.5181,15472472.4373,0,0.6725,False
LZTBI-0009,tbi_high,1,CL01,P01,A09,3,4,1,24,1,318,333.7,333.7,9,forebrain,2.89,0.022,1.8,True,3000,30,0.0282,8.7921,1640.714,0.6772,6.7424,18601634.4596,0,0.4365,False
LZTBI-0009,tbi_high,1,CL01,P01,A09,3,5,2,48,1,318,333.7,333.7,9,forebrain,2.87,0.0085,7.6,True,3000,30,0.0191,8.5707,1426.5512,0.9757,8.9876,14213706.6732,4,0.4169,False
LZTBI-0009,tbi_high,1,CL01,P01,A09,3,6,3,72,1,318,333.7,333.7,9,forebrain,2.96,0.0218,5.2,True,3000,30,0.0162,9.8052,2445.4604,1.3389,8.7504,41895580.7735,2,0.4169,False
LZTBI-0010,sham,1,CL01,P01,A10,3,4,1,24,0,0,0.0,0.0,10,forebrain,2.68,0.0199,2.7,True,3000,30,0.0147,2.5139,506.3325,-0.1996,3.441,836775.4425,0,0.9215,False
LZTBI-0010,sham,1,CL01,P01,A10,3,5,2,48,0,0,0.0,0.0,10,forebrain,2.74,0.0168,6.0,True,3000,30,0.0351,-0.8897,340.1751,-0.0405,3.0534,327389.2489,0,0.9271,False
LZTBI-0010,sham,1,CL01,P01,A10,3,6,3,72,0,0,0.0,0.0,10,forebrain,2.83,0.0187,19.0,True,3000,30,0.0267,0.6994,543.7386,-0.462,3.9807,1105815.0434,0,0.9341,False
LZTBI-0011,tbi_high,1,CL01,P01,B01,3,4,1,24,1,318,333.7,333.7,11,forebrain,3.15,0.0188,16.6,True,3000,30,0.032,4.2596,1193.2697,0.6785,5.0249,6657610.3006,0,0.5753,False
LZTBI-0011,tbi_high,1,CL01,P01,B01,3,5,2,48,1,318,333.7,333.7,11,forebrain,3.04,0.011,9.8,True,3000,30,0.0128,6.9419,479.0595,0.9437,6.5261,1078015.1345,0,0.5447,False
LZTBI-0011,tbi_high,1,CL01,P01,B01,3,6,3,72,1,318,333.7,333.7,11,forebrain,3.38,0.0183,10.1,True,3000,30,0.012,7.336,1809.1017,0.7174,8.4073,27817850.3354,2,0.3901,False
LZTBI-0012,sham,1,CL01,P01,B02,3,4,1,24,0,0,0.0,0.0,12,forebrain,3.22,0.0222,3.3,True,3000,30,0.0318,0.9059,745.1676,0.0725,3.7831,1897059.2933,0,0.9224,False
LZTBI-0012,sham,1,CL01,P01,B02,3,5,2,48,0,0,0.0,0.0,12,forebrain,3.18,0.0159,13.2,True,3000,30,0.0222,2.9365,409.8945,-0.0834,4.7557,730145.5259,0,0.902,False
LZTBI-0012,sham,1,CL01,P01,B02,3,6,3,72,0,0,0.0,0.0,12,forebrain,3.21,0.0219,16.8,True,3000,30,0.0246,3.9261,896.669,0.4726,3.3491,2120082.9186,0,0.8426,False
LZTBI-0013,sham,1,CL01,P01,B03,3,4,1,24,0,0,0.0,0.0,13,forebrain,2.84,0.0159,12.1,True,3000,30,0.0316,1.3099,460.0786,0.1816,4.1539,761701.7646,0,0.8372,False
LZTBI-0013,sham,1,CL01,P01,B03,3,5,2,48,0,0,0.0,0.0,13,forebrain,2.9,0.0213,14.6,True,3000,30,0.0101,1.9613,822.1844,0.8729,3.9523,2451620.2202,0,0.9078,False
LZTBI-0013,sham,1,CL01,P01,B03,3,6,3,72,0,0,0.0,0.0,13,forebrain,2.96,0.0148,3.6,True,3000,30,0.0165,6.3282,535.5953,0.2596,4.3639,1276045.7806,0,0.8171,False
LZTBI-0014,tbi_moderate,1,CL01,P01,B04,3,4,1,24,1,214,201.6,201.6,14,forebrain,3.09,0.0165,1.7,True,3000,30,0.0226,3.9784,590.0623,0.6505,4.0638,1395990.0792,0,0.8066,False
LZTBI-0014,tbi_moderate,1,CL01,P01,B04,3,5,2,48,1,214,201.6,201.6,14,forebrain,3.03,0.0189,18.1,True,3000,30,0.0155,4.7032,706.0188,0.509,4.6311,2189507.474,0,0.8726,False
LZTBI-0014,tbi_moderate,1,CL01,P01,B04,3,6,3,72,1,214,201.6,201.6,14,forebrain,2.96,0.0158,7.4,True,3000,30,0.0364,4.0216,510.3017,0.5241,5.2478,1309343.5184,0,0.777,False
LZTBI-0015,tbi_moderate,1,CL01,P01,B05,3,4,1,24,1,214,201.6,201.6,15,forebrain,2.82,0.0173,1.6,True,3000,30,0.0181,6.0377,778.2437,0.8043,4.6033,2059645.8741,0,0.652,False
LZTBI-0015,tbi_moderate,1,CL01,P01,B05,3,5,2,48,1,214,201.6,201.6,15,forebrain,2.87,0.0166,20.7,True,3000,30,0.0278,7.9113,784.5968,0.3393,4.9693,2538941.3534,0,0.5498,False
LZTBI-0015,tbi_moderate,1,CL01,P01,B05,3,6,3,72,1,214,201.6,201.6,15,forebrain,2.77,0.016,16.0,True,3000,30,0.0293,7.1694,944.1022,0.79,6.5468,4302261.3368,0,0.5699,False
LZTBI-0016,tbi_moderate,1,CL01,P01,B06,3,4,1,24,1,214,201.6,201.6,16,forebrain,2.94,0.023,13.1,True,3000,30,0.0096,7.9655,1347.2791,0.4118,5.4271,7275374.01,0,0.6496,False
LZTBI-0016,tbi_moderate,1,CL01,P01,B06,3,5,2,48,1,214,201.6,201.6,16,forebrain,2.98,0.0153,9.8,True,3000,30,0.0304,9.4316,678.4483,1.1412,6.029,2772435.0174,0,0.5626,False
LZTBI-0016,tbi_moderate,1,CL01,P01,B06,3,6,3,72,1,214,201.6,201.6,16,forebrain,2.92,0.0235,11.7,True,3000,30,0.0273,4.4279,1561.981,1.0329,5.887,13694894.6206,0,0.4955,False
LZTBI-0017,tbi_high,1,CL01,P01,B07,3,4,1,24,1,318,333.7,333.7,1,forebrain,2.99,0.0192,18.6,True,3000,30,0.0324,4.2615,866.926,0.809,4.6609,3215752.7349,0,0.738,False
LZTBI-0017,tbi_high,1,CL01,P01,B07,3,5,2,48,1,318,333.7,333.7,1,forebrain,2.94,0.0125,9.8,True,3000,30,0.0141,8.0311,499.4072,0.949,6.0241,1467742.7829,0,0.6761,False
LZTBI-0017,tbi_high,1,CL01,P01,B07,3,6,3,72,1,318,333.7,333.7,1,forebrain,2.91,0.0188,7.5,True,3000,30,0.023,9.0496,1304.0675,0.8026,6.6172,10669654.6593,0,0.538,False
LZTBI-0018,tbi_moderate,1,CL01,P01,B08,3,4,1,24,1,214,201.6,201.6,2,forebrain,2.83,0.0156,1.6,True,3000,30,0.0206,5.5524,558.9721,0.6062,4.246,1077482.6763,0,0.7824,False
LZTBI-0018,tbi_moderate,1,CL01,P01,B08,3,5,2,48,1,214,201.6,201.6,2,forebrain,2.89,0.0225,9.9,True,3000,30,0.038,6.8232,1356.2173,0.7416,4.7922,7134140.9579,0,0.6047,False
LZTBI-0019,tbi_low,1,CL01,P01,B09,3,4,1,24,1,112,117.1,117.1,3,forebrain,2.72,0.0154,3.4,True,3000,30,0.0293,6.3555,579.4992,0.8336,5.584,1425253.4791,0,0.768,False
LZTBI-0019,tbi_low,1,CL01,P01,B09,3,5,2,48,1,112,117.1,117.1,3,forebrain,2.82,0.0174,26.1,True,3000,30,0.0102,6.1974,773.2554,0.5937,5.7074,3189914.2142,0,0.6957,False
LZTBI-0019,tbi_low,1,CL01,P01,B09,3,6,3,72,1,112,117.1,117.1,3,forebrain,2.58,0.0141,19.4,True,3000,30,0.0195,9.0844,1689.1364,0.6247,7.756,20975160.7782,4,0.5484,False
LZTBI-0020,tbi_high,1,CL01,P01,B10,3,4,1,24,1,318,333.7,333.7,4,forebrain,3.17,0.0169,8.2,True,3000,30,0.0154,10.392,1515.2391,1.3253,8.004,18847875.2161,2,0.4774,False
LZTBI-0020,tbi_high,1,CL01,P01,B10,3,5,2,48,1,318,333.7,333.7,4,forebrain,3.08,0.0167,13.6,True,3000,30,0.0248,8.976,1892.699,1.1465,8.8192,23224101.8269,2,0.4268,False
LZTBI-0020,tbi_high,1,CL01,P01,B10,3,6,3,72,1,318,333.7,333.7,4,forebrain,3.32,0.0155,25.3,True,3000,30,0.022,11.2697,1602.7404,1.3148,8.3959,21479240.8139,2,0.3476,False
LZTBI-0021,tbi_low,1,CL01,P01,C01,3,4,1,24,1,112,117.1,117.1,5,forebrain,3.14,0.0169,16.3,True,3000,30,0.0335,2.9465,687.7701,0.3773,5.3279,2469354.2927,0,0.674,False
LZTBI-0021,tbi_low,1,CL01,P01,C01,3,5,2,48,1,112,117.1,117.1,5,forebrain,3.11,0.0175,18.5,True,3000,30,0.0242,5.4129,1185.637,0.5223,5.5092,6327652.8025,2,0.5713,False
LZTBI-0022,tbi_low,1,CL01,P01,C02,3,4,1,24,1,112,117.1,117.1,6,forebrain,2.85,0.0085,6.1,True,3000,30,0.0208,-2.0066,150.0,0.1398,2.7211,100000.0,0,0.9171,False
LZTBI-0022,tbi_low,1,CL01,P01,C02,3,5,2,48,1,112,117.1,117.1,6,forebrain,2.92,0.0214,8.9,True,3000,30,0.0285,4.8018,609.3438,0.1523,2.7204,974196.98,0,0.995,False
LZTBI-0022,tbi_low,1,CL01,P01,C02,3,6,3,72,1,112,117.1,117.1,6,forebrain,2.98,0.0085,13.5,True,3000,30,0.0352,4.3825,179.3366,0.1817,3.6379,100000.0,0,0.824,False
LZTBI-0023,tbi_moderate,1,CL01,P01,C03,3,4,1,24,1,214,201.6,201.6,7,forebrain,2.92,0.0198,4.3,True,3000,30,0.0264,4.843,821.0666,0.0963,4.6241,2717902.13,0,0.7898,False
LZTBI-0023,tbi_moderate,1,CL01,P01,C03,3,5,2,48,1,214,201.6,201.6,7,forebrain,3.06,0.0153,16.7,True,3000,30,0.0155,3.8701,474.9655,0.3832,4.1151,905270.8797,0,0.8798,False
LZTBI-0023,tbi_moderate,1,CL01,P01,C03,3,6,3,72,1,214,201.6,201.6,7,forebrain,2.74,0.0183,21.3,True,3000,30,0.0167,5.3858,642.8058,0.6016,5.323,2246201.1712,0,0.7617,False
LZTBI-0024,tbi_high,1,CL01,P01,C04,3,4,1,24,1,318,333.7,333.7,8,forebrain,3.17,0.0156,4.0,True,3000,30,0.0185,7.0957,1546.3731,0.5006,7.4156,13725345.8502,2,0.5092,False
LZTBI-0024,tbi_high,1,CL01,P01,C04,3,5,2,48,1,318,333.7,333.7,8,forebrain,3.09,0.0172,7.9,True,3000,30,0.0276,8.2909,1243.2679,1.044,7.8901,9144674.688,0,0.3928,False
LZTBI-0024,tbi_high,1,CL01,P01,C04,3,6,3,72,1,318,333.7,333.7,8,forebrain,3.31,0.0147,8.3,True,3000,30,0.0249,12.3177,2739.9627,1.1596,9.3525,56101447.5224,6,0.226,False
LZTBI-0025,tbi_moderate,1,CL01,P01,C05,3,4,1,24,1,214,201.6,201.6,9,forebrain,3.08,0.0235,17.8,True,3000,30,0.013,4.2283,1240.1145,0.7573,5.0744,7802555.1789,0,0.7046,False
LZTBI-0025,tbi_moderate,1,CL01,P01,C05,3,5,2,48,1,214,201.6,201.6,9,forebrain,2.99,0.0143,7.6,True,3000,30,0.0295,7.7826,1369.9323,0.719,6.8347,10242198.4822,2,0.482,False
LZTBI-0025,tbi_moderate,1,CL01,P01,C05,3,6,3,72,1,214,201.6,201.6,9,forebrain,2.88,0.0235,2.5,True,3000,30,0.021,5.7479,1973.3252,0.9479,6.8342,26848276.7192,0,0.6181,False
LZTBI-0026,tbi_moderate,1,CL01,P01,C06,3,4,1,24,1,214,201.6,201.6,10,forebrain,3.12,0.0157,8.5,True,3000,30,0.0313,1.6134,360.1132,0.1617,3.6797,448117.6533,0,0.9173,False
LZTBI-0026,tbi_moderate,1,CL01,P01,C06,3,5,2,48,1,214,201.6,201.6,10,forebrain,2.96,0.0207,12.1,True,3000,30,0.0339,3.317,896.9104,0.2859,4.1359,2966101.1266,0,0.8009,False
LZTBI-0027,tbi_high,1,CL01,P01,C07,3,4,1,24,1,318,333.7,333.7,11,forebrain,2.7,0.0199,10.7,True,3000,30,0.0321,5.9913,1369.0639,0.9752,6.1346,11371794.3426,0,0.5372,False
LZTBI-0027,tbi_high,1,CL01,P01,C07,3,5,2,48,1,318,333.7,333.7,11,forebrain,2.71,0.0113,10.7,True,3000,30,0.0233,10.1173,745.2296,0.6472,6.9499,2984724.1663,0,0.5231,False
LZTBI-0027,tbi_high,1,CL01,P01,C07,3,6,3,72,1,318,333.7,333.7,11,forebrain,2.76,0.0206,8.7,True,3000,30,0.0181,9.6739,2106.4203,0.9749,8.8274,28442284.5738,2,0.507,False
LZTBI-0028,tbi_low,1,CL01,P01,C08,3,4,1,24,1,112,117.1,117.1,12,forebrain,2.73,0.0186,5.9,True,3000,30,0.0252,1.9319,463.3724,-0.117,3.5073,563843.6935,0,0.8914,False
LZTBI-0028,tbi_low,1,CL01,P01,C08,3,5,2,48,1,112,117.1,117.1,12,forebrain,2.84,0.0125,2.7,True,3000,30,0.028,3.7673,238.8561,0.0807,2.4291,121469.4613,0,0.8957,False
LZTBI-0028,tbi_low,1,CL01,P01,C08,3,6,3,72,1,112,117.1,117.1,12,forebrain,2.52,0.0179,4.9,True,3000,30,0.0261,2.0629,518.1652,0.4366,3.1888,729362.5936,0,0.9551,False
LZTBI-0029,tbi_low,1,CL01,P01,C09,3,4,1,24,1,112,117.1,117.1,13,forebrain,3.05,0.0191,18.7,True,3000,30,0.0347,0.3941,656.0523,0.3115,3.4307,1203519.5964,0,0.8248,False
LZTBI-0029,tbi_low,1,CL01,P01,C09,3,5,2,48,1,112,117.1,117.1,13,forebrain,3.11,0.0125,7.4,True,3000,30,0.0301,0.9338,402.1473,0.4055,5.434,781705.7499,0,0.7502,False
LZTBI-0029,tbi_low,1,CL01,P01,C09,3,6,3,72,1,112,117.1,117.1,13,forebrain,3.17,0.0185,1.9,True,3000,30,0.0254,4.9531,797.209,0.5011,5.3052,3399629.1128,0,0.6637,False
LZTBI-0030,sham,1,CL01,P01,C10,3,4,1,24,0,0,0.0,0.0,14,forebrain,2.85,0.0118,8.7,True,3000,30,0.0329,4.4158,276.975,0.0787,3.0631,212733.9338,0,0.9544,False
LZTBI-0030,sham,1,CL01,P01,C10,3,5,2,48,0,0,0.0,0.0,14,forebrain,2.84,0.019,8.1,True,3000,30,0.0283,0.0264,471.5404,-0.3154,2.4657,498600.2709,0,0.9241,False
LZTBI-0030,sham,1,CL01,P01,C10,3,6,3,72,0,0,0.0,0.0,14,forebrain,2.92,0.0102,3.1,True,3000,30,0.0188,1.4869,150.0,-0.1987,3.0599,100000.0,0,0.9499,False
LZTBI-0031,tbi_moderate,1,CL01,P01,D01,3,4,1,24,1,214,201.6,201.6,15,forebrain,2.89,0.0162,1.0,True,3000,30,0.0378,1.1031,452.8101,0.0157,3.8816,665892.034,0,0.8465,False
LZTBI-0031,tbi_moderate,1,CL01,P01,D01,3,5,2,48,1,214,201.6,201.6,15,forebrain,2.9,0.0182,18.4,True,3000,30,0.0177,2.3114,597.3685,0.2333,4.5479,1331843.926,0,0.9434,False
LZTBI-0032,sham,1,CL01,P01,D02,3,4,1,24,0,0,0.0,0.0,16,forebrain,2.75,0.0195,22.1,True,3000,30,0.0299,2.9672,730.729,0.4902,3.7831,1800503.2166,0,0.7713,False
LZTBI-0032,sham,1,CL01,P01,D02,3,5,2,48,0,0,0.0,0.0,16,forebrain,2.64,0.0107,4.4,True,3000,30,0.0235,5.1098,239.5346,0.1341,4.1209,198667.5247,0,0.8813,False
LZTBI-0032,sham,1,CL01,P01,D02,3,6,3,72,0,0,0.0,0.0,16,forebrain,2.54,0.0194,2.0,True,3000,30,0.0171,4.8478,722.1768,0.3492,4.6635,2250021.8491,0,0.7568,False
LZTBI-0033,tbi_moderate,1,CL01,P01,D03,3,4,1,24,1,214,201.6,201.6,1,forebrain,3.17,0.0178,16.8,True,3000,30,0.03,5.0317,799.8533,0.6381,4.2946,2352588.8908,0,0.619,False
LZTBI-0033,tbi_moderate,1,CL01,P01,D03,3,5,2,48,1,214,201.6,201.6,1,forebrain,3.16,0.0118,11.2,True,3000,30,0.0122,6.3083,983.7484,0.8931,6.582,5832569.7735,2,0.5379,False
LZTBI-0033,tbi_moderate,1,CL01,P01,D03,3,6,3,72,1,214,201.6,201.6,1,forebrain,3.14,0.0296,11.1,True,3000,30,0.0097,6.5215,2240.3509,0.7017,5.7921,25544347.4373,0,0.6258,False
LZTBI-0034,tbi_moderate,1,CL01,P01,D04,3,4,1,24,1,214,201.6,201.6,2,forebrain,3.0,0.0166,11.2,True,3000,30,0.0291,-1.2105,455.5959,-0.1478,3.1605,601386.3938,0,0.9362,False
LZTBI-0034,tbi_moderate,1,CL01,P01,D04,3,5,2,48,1,214,201.6,201.6,2,forebrain,2.93,0.0172,2.9,True,3000,30,0.0208,2.8921,525.3714,0.3224,4.0573,977902.527,0,0.9304,False
LZTBI-0034,tbi_moderate,1,CL01,P01,D04,3,6,3,72,1,214,201.6,201.6,2,forebrain,3.1,0.0157,1.3,True,3000,30,0.0162,-0.3333,421.8433,0.72,3.5067,592706.407,0,0.8703,False
LZTBI-0035,sham,1,CL01,P01,D05,3,4,1,24,0,0,0.0,0.0,3,forebrain,2.99,0.0256,20.2,True,3000,30,0.033,0.0498,974.1568,-0.0213,4.1262,3885157.8183,0,0.9476,False
LZTBI-0035,sham,1,CL01,P01,D05,3,5,2,48,0,0,0.0,0.0,3,forebrain,2.97,0.0129,4.6,True,3000,30,0.014,2.8425,304.5383,0.2132,3.9233,363513.4221,0,0.912,False
LZTBI-0035,sham,1,CL01,P01,D05,3,6,3,72,0,0,0.0,0.0,3,forebrain,2.97,0.0256,8.8,True,3000,30,0.0338,-0.6676,978.9345,0.5634,3.9948,3418536.2601,0,0.8609,False
LZTBI-0036,sham,1,CL01,P01,D06,3,4,1,24,0,0,0.0,0.0,4,forebrain,2.73,0.0146,7.1,True,3000,30,0.0271,2.0699,393.4926,0.3741,4.0741,608352.6242,0,0.8328,False
LZTBI-0036,sham,1,CL01,P01,D06,3,5,2,48,0,0,0.0,0.0,4,forebrain,2.67,0.0221,4.1,True,3000,30,0.0197,1.2513,781.5966,0.3277,3.9737,2169677.6678,0,0.8014,False
LZTBI-0036,sham,1,CL01,P01,D06,3,6,3,72,0,0,0.0,0.0,4,forebrain,2.63,0.0152,25.0,True,3000,30,0.0126,0.2752,469.9277,0.0304,3.8652,889485.2111,0,0.8794,False
LZTBI-0037,tbi_low,1,CL01,P01,D07,3,4,1,24,1,112,117.1,117.1,5,forebrain,2.83,0.0219,2.1,True,3000,30,0.0283,1.5662,656.6777,-0.1576,3.344,1265201.7651,0,0.8813,False
LZTBI-0037,tbi_low,1,CL01,P01,D07,3,5,2,48,1,112,117.1,117.1,5,forebrain,2.83,0.0159,20.4,True,3000,30,0.0366,0.4381,360.2605,-0.2241,2.8449,363463.1763,0,0.8725,False
LZTBI-0037,tbi_low,1,CL01,P01,D07,3,6,3,72,1,112,117.1,117.1,5,forebrain,2.9,0.022,16.0,True,3000,30,0.0275,2.7514,774.3914,0.1655,3.7584,2101968.7819,0,0.8436,False
LZTBI-0038,tbi_low,1,CL01,P01,D08,3,4,1,24,1,112,117.1,117.1,6,forebrain,3.36,0.014,0.8,True,3000,30,0.0295,2.9261,534.0627,0.7375,5.4023,1264187.1086,0,0.6536,False
LZTBI-0038,tbi_low,1,CL01,P01,D08,3,5,2,48,1,112,117.1,117.1,6,forebrain,3.04,0.0175,15.8,True,3000,30,0.0241,3.5237,694.6256,0.1864,5.1709,2239570.0014,0,0.6674,False
LZTBI-0038,tbi_low,1,CL01,P01,D08,3,6,3,72,1,112,117.1,117.1,6,forebrain,3.04,0.0149,18.9,True,3000,30,0.0229,5.0282,633.8345,0.7501,5.4606,2036912.0485,0,0.7271,False
LZTBI-0039,sham,1,CL01,P01,D09,3,4,1,24,0,0,0.0,0.0,7,forebrain,2.92,0.017,18.6,True,3000,30,0.0261,0.089,400.5604,-0.4924,3.3145,475770.9796,0,0.82,False
LZTBI-0039,sham,1,CL01,P01,D09,3,5,2,48,0,0,0.0,0.0,7,forebrain,2.95,0.0165,15.0,True,3000,30,0.0341,3.9734,336.2672,-0.1866,2.4529,188608.5629,0,0.9572,False
LZTBI-0039,sham,1,CL01,P01,D09,3,6,3,72,0,0,0.0,0.0,7,forebrain,2.46,0.0175,10.0,True,3000,30,0.0136,-2.4324,436.9916,-0.0255,3.1517,519408.6446,0,0.9244,False
LZTBI-0040,tbi_low,1,CL01,P01,D10,3,4,1,24,1,112,117.1,117.1,8,forebrain,2.99,0.0218,18.2,True,3000,30,0.0367,3.9732,997.2879,0.6289,5.4566,4680116.2759,0,0.7654,False
LZTBI-0040,tbi_low,1,CL01,P01,D10,3,5,2,48,1,112,117.1,117.1,8,forebrain,3.01,0.0085,3.9,True,3000,30,0.0167,6.6434,712.9531,0.6,6.6999,3328470.2108,2,0.5952,False
LZTBI-0040,tbi_low,1,CL01,P01,D10,3,6,3,72,1,112,117.1,117.1,8,forebrain,3.01,0.0221,1.2,True,3000,30,0.0434,8.4183,1522.4838,0.9739,6.1709,12535728.6791,0,0.5165,False
LZTBI-0041,tbi_high,1,CL02,P01,E01,3,4,1,24,1,318,333.7,333.7,9,forebrain,3.04,0.0194,7.7,True,3000,30,0.0285,8.9126,1973.7448,1.3059,7.2452,24036314.7695,2,0.4293,False
LZTBI-0041,tbi_high,1,CL02,P01,E01,3,5,2,48,1,318,333.7,333.7,9,forebrain,3.11,0.0155,7.8,True,3000,30,0.0215,8.2106,1950.5779,1.1891,9.2511,26930044.5832,4,0.3578,False
LZTBI-0041,tbi_high,1,CL02,P01,E01,3,6,3,72,1,318,333.7,333.7,9,forebrain,2.93,0.0177,3.1,True,3000,30,0.0166,7.6188,1669.1398,1.1773,9.0704,23477502.8721,2,0.342,False
