fish_id,mean_state_index,n_sessions,group
LZTBI-0077,1.3333333333333333,3,tbi_moderate
LZTBI-0078,1.3333333333333333,3,tbi_high
LZTBI-0079,0.6666666666666666,3,tbi_low
LZTBI-0080,1.0,3,tbi_low
LZTBI-0081,0.6666666666666666,3,sham
LZTBI-0082,1.0,3,tbi_high
LZTBI-0083,0.3333333333333333,3,tbi_low
LZTBI-0084,1.3333333333333333,3,tbi_high
LZTBI-0085,1.6666666666666667,3,tbi_low
LZTBI-0086,1.0,3,tbi_moderate
LZTBI-0087,0.0,3,tbi_low
LZTBI-0088,1.0,3,tbi_high
LZTBI-0089,1.0,3,tbi_moderate
LZTBI-0090,0.6666666666666666,3,tbi_low
LZTBI-0091,1.6666666666666667,3,tbi_high
LZTBI-0092,0.0,3,sham
LZTBI-0093,2.0,3,tbi_high
LZTBI-0094,1.6666666666666667,3,tbi_high
LZTBI-0095,1.6666666666666667,3,tbi_moderate
LZTBI-0096,0.6666666666666666,3,tbi_low
LZTBI-0097,1.0,3,tbi_moderate
LZTBI-0098,0.0,3,sham
LZTBI-0099,0.0,3,tbi_low
LZTBI-0100,0.0,1,tbi_moderate
LZTBI-0101,1.6666666666666667,3,tbi_high
LZTBI-0102,0.0,3,tbi_low
LZTBI-0103,0.0,3,sham
LZTBI-0104,0.0,3,sham
LZTBI-0105,1.0,3,tbi_low
LZTBI-0106,0.0,3,sham
LZTBI-0107,0.0,3,sham
LZTBI-0108,0.0,3,tbi_low
LZTBI-0109,0.0,3,tbi_low
LZTBI-0110,1.6666666666666667,3,tbi_moderate
LZTBI-0111,1.6666666666666667,3,tbi_moderate
LZTBI-0112,0.0,3,sham
LZTBI-0113,1.6666666666666667,3,tbi_high
LZTBI-0114,1.3333333333333333,3,tbi_moderate
LZTBI-0115,0.0,3,sham
LZTBI-0116,0.0,2,sham
LZTBI-0117,1.3333333333333333,3,tbi_moderate
LZTBI-0118,0.0,3,sham
LZTBI-0119,0.0,3,sham
LZTBI-0120,0.0,3,sham
LZTBI-0121,2.0,3,tbi_moderate
LZTBI-0122,1.3333333333333333,3,tbi_moderate
LZTBI-0123,0.0,3,tbi_moderate
LZTBI-0124,1.0,3,tbi_low
LZTBI-0125,1.6666666666666667,3,tbi_high
LZTBI-0126,1.0,3,tbi_high
LZTBI-0127,0.0,3,tbi_low
LZTBI-0128,1.0,3,tbi_moderate
LZTBI-0129,1.0,3,tbi_low
LZTBI-0130,0.6666666666666666,3,sham
LZTBI-0131,0.3333333333333333,3,sham
LZTBI-0132,1.3333333333333333,3,tbi_high
LZTBI-0133,0.0,3,tbi_high
LZTBI-0134,1.3333333333333333,3,tbi_high
LZTBI-0135,1.6666666666666667,3,tbi_low
LZTBI-0136,0.0,3,sham
LZTBI-0137,0.3333333333333333,3,tbi_low
LZTBI-0138,1.6666666666666667,3,tbi_high
LZTBI-0139,1.3333333333333333,3,tbi_moderate
LZTBI-0140,1.0,3,tbi_moderate
LZTBI-0141,1.0,3,tbi_low
LZTBI-0142,0.0,3,tbi_low
LZTBI-0143,1.0,3,tbi_high
LZTBI-0144,0.0,3,sham
LZTBI-0145,0.0,3,sham
LZTBI-0146,2.0,3,tbi_high
LZTBI-0147,0.0,2,tbi_low
LZTBI-0148,1.6666666666666667,3,tbi_high
LZTBI-0149,0.3333333333333333,3,tbi_moderate
LZTBI-0150,2.0,3,tbi_high
LZTBI-0151,1.6666666666666667,3,tbi_high
LZTBI-0152,0.6666666666666666,3,tbi_moderate
LZTBI-0153,1.0,3,tbi_moderate
LZTBI-0154,1.0,3,tbi_moderate
LZTBI-0155,0.0,3,sham
LZTBI-0156,2.0,3,tbi_high
LZTBI-0157,0.0,3,sham
LZTBI-0158,0.0,3,tbi_low
LZTBI-0159,1.3333333333333333,3,tbi_moderate
LZTBI-0160,1.3333333333333333,3,tbi_low
LZTBI-0161,0.3333333333333333,3,tbi_low
LZTBI-0162,0.6666666666666666,3,tbi_low
LZTBI-0163,1.0,3,tbi_high
LZTBI-0164,0.0,3,sham
LZTBI-0165,2.0,3,tbi_high
LZTBI-0166,0.0,3,sham
LZTBI-0167,0.0,3,sham
LZTBI-0168,0.0,3,tbi_low
LZTBI-0169,1.3333333333333333,3,tbi_high
LZTBI-0170,1.0,3,tbi_moderate
LZTBI-0171,2.0,3,tbi_high
LZTBI-0172,2.0,3,tbi_high
LZTBI-0173,0.0,3,tbi_low
LZTBI-0174,1.3333333333333333,3,tbi_moderate
LZTBI-0175,0.3333333333333333,3,sham
LZTBI-0176,1.3333333333333333,3,tbi_moderate
LZTBI-0177,2.0,3,tbi_high
LZTBI-0178,2.0,3,tbi_low
LZTBI-0179,2.0,3,tbi_high
LZTBI-0180,1.0,3,tbi_moderate
LZTBI-0181,0.3333333333333333,3,sham
LZTBI-0182,1.6666666666666667,3,tbi_high
LZTBI-0183,1.0,3,tbi_moderate
LZTBI-0184,1.0,3,tbi_low
LZTBI-0185,1.6666666666666667,3,tbi_low
LZTBI-0186,0.0,3,tbi_low
LZTBI-0187,0.0,2,tbi_low
LZTBI-0188,1.6666666666666667,3,tbi_low
LZTBI-0189,0.6666666666666666,3,tbi_moderate
LZTBI-0190,0.0,3,sham
LZTBI-0191,1.0,3,tbi_low
LZTBI-0192,0.3333333333333333,3,tbi_low
LZTBI-0193,0.0,3,tbi_low
LZTBI-0194,1.0,2,tbi_high
LZTBI-0195,0.3333333333333333,3,sham
LZTBI-0196,0.6666666666666666,3,tbi_moderate
LZTBI-0197,0.6666666666666666,3,tbi_moderate
LZTBI-0198,1.3333333333333333,3,sham
LZTBI-0199,1.3333333333333333,3,tbi_moderate
LZTBI-0200,0.0,3,sham
LZTBI-0201,1.3333333333333333,3,sham
LZTBI-0202,0.6666666666666666,3,tbi_moderate
LZTBI-0203,0.0,3,tbi_low
LZTBI-0204,0.3333333333333333,3,tbi_low
LZTBI-0205,0.0,3,tbi_low
LZTBI-0206,0.0,3,sham
LZTBI-0207,0.0,3,sham
LZTBI-0208,0.0,3,tbi_moderate
LZTBI-0209,1.6666666666666667,3,tbi_high
LZTBI-0210,2.0,3,tbi_high
LZTBI-0211,0.0,3,sham
LZTBI-0212,0.0,3,tbi_moderate
LZTBI-0213,0.0,3,sham
LZTBI-0214,1.6666666666666667,3,tbi_high
LZTBI-0215,1.6666666666666667,3,tbi_high
LZTBI-0216,1.0,3,tbi_high
LZTBI-0217,1.0,3,tbi_moderate
LZTBI-0218,1.3333333333333333,3,tbi_moderate
LZTBI-0219,0.6666666666666666,3,tbi_high
LZTBI-0220,0.0,3,tbi_moderate
LZTBI-0221,1.0,3,tbi_moderate
LZTBI-0222,1.3333333333333333,3,tbi_high
LZTBI-0223,1.6666666666666667,3,tbi_low
LZTBI-0224,0.0,3,sham
LZTBI-0225,0.0,3,sham
LZTBI-0226,1.6666666666666667,3,sham
LZTBI-0227,1.0,3,tbi_moderate
LZTBI-0228,0.0,3,tbi_low
LZTBI-0229,1.3333333333333333,3,tbi_low
LZTBI-0230,0.0,3,sham
LZTBI-0231,1.6666666666666667,3,tbi_high
LZTBI-0232,0.3333333333333333,3,tbi_low
LZTBI-0233,0.0,3,sham
LZTBI-0234,1.0,3,tbi_moderate
LZTBI-0235,0.0,3,sham
LZTBI-0236,1.6666666666666667,3,tbi_high
LZTBI-0237,0.3333333333333333,3,tbi_moderate
LZTBI-0238,1.0,3,tbi_high
LZTBI-0239,1.6666666666666667,3,tbi_high
LZTBI-0240,1.0,3,tbi_moderate
