fish_id,group,high_burden_state_dpf6_TRUTH,split
TBI0114,tbi_low,0.0,test
TBI0115,tbi_low,1.0,test
TBI0116,tbi_low,0.0,test
TBI0117,tbi_low,0.0,train
TBI0118,tbi_low,0.0,train
TBI0119,tbi_low,0.0,train
TBI0120,tbi_low,0.0,train
TBI0121,tbi_moderate,0.0,train
TBI0122,tbi_moderate,0.0,train
TBI0123,tbi_moderate,0.0,test
TBI0124,tbi_moderate,0.0,test
TBI0125,tbi_moderate,0.0,test
TBI0126,tbi_moderate,1.0,test
TBI0127,tbi_moderate,,train
TBI0128,tbi_moderate,0.0,test
TBI0129,tbi_moderate,0.0,test
TBI0130,tbi_moderate,0.0,train
TBI0131,tbi_moderate,0.0,train
TBI0132,tbi_moderate,0.0,test
TBI0133,tbi_moderate,0.0,test
TBI0134,tbi_moderate,0.0,test
TBI0135,tbi_moderate,1.0,train
TBI0136,tbi_moderate,1.0,train
TBI0137,tbi_moderate,0.0,train
TBI0138,tbi_moderate,0.0,train
TBI0139,tbi_moderate,0.0,train
TBI0140,tbi_moderate,0.0,train
TBI0141,tbi_moderate,1.0,train
TBI0142,tbi_moderate,1.0,test
TBI0143,tbi_moderate,0.0,train
TBI0144,tbi_moderate,0.0,train
TBI0145,tbi_moderate,0.0,train
TBI0146,tbi_moderate,1.0,train
TBI0147,tbi_moderate,0.0,test
TBI0148,tbi_moderate,0.0,train
TBI0149,tbi_moderate,0.0,test
TBI0150,tbi_moderate,0.0,train
TBI0151,tbi_moderate,0.0,train
TBI0152,tbi_moderate,1.0,train
TBI0153,tbi_moderate,,test
TBI0154,tbi_moderate,0.0,train
TBI0155,tbi_moderate,0.0,train
TBI0156,tbi_moderate,0.0,train
TBI0157,tbi_moderate,1.0,test
TBI0158,tbi_moderate,1.0,train
TBI0159,tbi_moderate,0.0,train
TBI0160,tbi_moderate,1.0,train
TBI0161,tbi_moderate,1.0,test
TBI0162,tbi_moderate,0.0,train
TBI0163,tbi_moderate,0.0,train
TBI0164,tbi_moderate,0.0,test
TBI0165,tbi_moderate,1.0,train
TBI0166,tbi_moderate,0.0,train
TBI0167,tbi_moderate,0.0,train
TBI0168,tbi_moderate,1.0,train
TBI0169,tbi_moderate,0.0,train
TBI0170,tbi_moderate,0.0,train
TBI0171,tbi_moderate,0.0,test
TBI0172,tbi_moderate,0.0,train
TBI0173,tbi_moderate,0.0,train
TBI0174,tbi_moderate,,train
TBI0175,tbi_moderate,0.0,test
TBI0176,tbi_moderate,1.0,train
TBI0177,tbi_moderate,0.0,train
TBI0178,tbi_moderate,0.0,train
TBI0179,tbi_moderate,0.0,train
TBI0180,tbi_moderate,0.0,train
TBI0181,tbi_high,0.0,train
TBI0182,tbi_high,0.0,train
TBI0183,tbi_high,0.0,test
TBI0184,tbi_high,0.0,train
TBI0185,tbi_high,0.0,test
TBI0186,tbi_high,0.0,train
TBI0187,tbi_high,0.0,test
TBI0188,tbi_high,1.0,train
TBI0189,tbi_high,0.0,train
TBI0190,tbi_high,,test
TBI0191,tbi_high,1.0,train
TBI0192,tbi_high,0.0,test
TBI0193,tbi_high,0.0,test
TBI0194,tbi_high,,train
TBI0195,tbi_high,1.0,test
TBI0196,tbi_high,1.0,train
TBI0197,tbi_high,0.0,train
TBI0198,tbi_high,1.0,test
TBI0199,tbi_high,0.0,train
TBI0200,tbi_high,0.0,train
TBI0201,tbi_high,1.0,train
TBI0202,tbi_high,1.0,train
TBI0203,tbi_high,1.0,train
TBI0204,tbi_high,0.0,test
TBI0205,tbi_high,1.0,train
TBI0206,tbi_high,0.0,test
TBI0207,tbi_high,0.0,train
TBI0208,tbi_high,1.0,train
TBI0209,tbi_high,0.0,test
TBI0210,tbi_high,0.0,train
TBI0211,tbi_high,0.0,train
TBI0212,tbi_high,,train
TBI0213,tbi_high,0.0,train
TBI0214,tbi_high,1.0,train
TBI0215,tbi_high,,train
TBI0216,tbi_high,1.0,train
TBI0217,tbi_high,0.0,train
TBI0218,tbi_high,,train
TBI0219,tbi_high,1.0,train
TBI0220,tbi_high,0.0,train
TBI0221,tbi_high,1.0,train
TBI0222,tbi_high,0.0,test
TBI0223,tbi_high,1.0,train
TBI0224,tbi_high,,train
TBI0225,tbi_high,0.0,train
TBI0226,tbi_high,,test
TBI0227,tbi_high,1.0,test
TBI0228,tbi_high,1.0,test
TBI0229,tbi_high,1.0,train
TBI0230,tbi_high,0.0,train
TBI0231,tbi_high,1.0,test
TBI0232,tbi_high,1.0,test
TBI0233,tbi_high,1.0,train
TBI0234,tbi_high,0.0,train
TBI0235,tbi_high,0.0,train
TBI0236,tbi_high,0.0,train
TBI0237,tbi_high,0.0,test
TBI0238,tbi_high,0.0,train
TBI0239,tbi_high,0.0,train
TBI0240,tbi_high,0.0,train
