fish_id,group,dpf,video_id,dlc_model,dlc_keypoints,dlc_pcutoff,dlc_mean_keypoint_likelihood,dlc_pct_frames_below_pcutoff,dlc_tracking_qc_pass,dlc_mean_speed_mm_s,dlc_max_speed_mm_s,dlc_rest_fraction,dlc_burst_rate_per_min,dlc_mean_tail_bend_deg,dlc_max_tail_bend_deg,dlc_mean_tail_angle_change_deg_s,dlc_max_tail_angle_change_deg_s,dlc_whirlpool_rate_per_min,dlc_behavior_abnormality_index,manual_pts_stage_TRUTH,stunned_phenotype_TRUTH,record_status,template_seed
TBI0005,sham,5,VID_TBI0005_5dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9783,1.2497,True,1.5652,3.9633,0.2488,4.5972,16.1059,23.1722,33.1059,73.4811,0.1416,0.1505,0,False,placeholder_pending_replacement,42
TBI0005,sham,6,VID_TBI0005_6dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.956,4.5679,True,1.5306,3.5723,0.3309,4.1198,11.4878,15.3724,27.2448,53.2548,0.0,0.1534,1,False,placeholder_pending_replacement,42
TBI0006,sham,4,VID_TBI0006_4dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.969,5.1677,True,1.8621,4.3446,0.2873,3.8295,15.0463,26.2444,47.6081,84.2963,0.3523,0.3228,0,False,placeholder_pending_replacement,42
TBI0006,sham,5,VID_TBI0006_5dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9673,4.0777,True,1.455,3.2364,0.3179,2.5155,14.019,26.0741,52.7814,88.8314,0.0557,0.3018,0,False,placeholder_pending_replacement,42
TBI0006,sham,6,VID_TBI0006_6dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9759,1.5689,True,1.9319,4.7263,0.3103,3.0647,9.4925,14.9173,8.2838,16.3754,0.0,0.3958,0,False,placeholder_pending_replacement,42
TBI0007,sham,4,VID_TBI0007_4dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9051,1.0696,True,1.2865,3.3607,0.2498,4.588,9.3027,16.2455,37.0998,73.6146,0.0,0.2202,0,False,placeholder_pending_replacement,42
TBI0007,sham,5,VID_TBI0007_5dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9835,2.4488,True,1.2015,2.5687,0.23,3.9081,15.0029,22.7335,32.4091,62.8293,0.0,0.1445,1,False,placeholder_pending_replacement,42
TBI0007,sham,6,VID_TBI0007_6dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9237,0.0,True,1.2205,2.6701,0.2323,4.3061,18.8333,37.4761,22.221,40.4084,0.0598,0.2892,0,False,placeholder_pending_replacement,42
TBI0008,sham,4,VID_TBI0008_4dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9495,3.8365,True,1.7499,4.6805,0.2809,3.2018,18.3535,32.4881,28.4748,45.9552,0.0251,0.2008,0,False,placeholder_pending_replacement,42
TBI0008,sham,5,VID_TBI0008_5dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.995,2.4168,True,1.5981,2.6858,0.2548,3.8154,15.8458,22.8399,18.1546,25.7052,0.0463,0.167,0,False,placeholder_pending_replacement,42
TBI0008,sham,6,VID_TBI0008_6dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9747,2.4328,True,1.6263,3.5314,0.2379,2.2881,16.5074,32.9536,34.7948,69.838,0.4012,0.3414,0,False,placeholder_pending_replacement,42
TBI0009,sham,4,VID_TBI0009_4dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.979,2.3126,True,1.8616,2.9823,0.259,2.6599,13.8291,19.0628,40.3934,87.9157,0.0,0.2053,0,False,placeholder_pending_replacement,42
TBI0009,sham,5,VID_TBI0009_5dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.972,3.1479,True,1.7648,2.89,0.2187,2.5446,15.3434,21.1347,32.4662,63.5732,0.1078,0.2478,0,False,placeholder_pending_replacement,42
TBI0009,sham,6,VID_TBI0009_6dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9809,4.428,True,2.0498,3.3531,0.3211,2.8029,16.5651,25.5522,37.117,52.5997,0.0908,0.335,0,False,placeholder_pending_replacement,42
TBI0010,sham,4,VID_TBI0010_4dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9337,3.9247,True,1.5532,4.0438,0.2812,4.0575,13.3913,17.5789,23.3406,45.1907,0.0,0.0789,0,False,placeholder_pending_replacement,42
TBI0010,sham,5,VID_TBI0010_5dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9718,0.2933,True,1.3882,2.5535,0.2814,3.3449,12.1158,23.0356,34.4916,76.6171,0.0,0.1299,0,False,placeholder_pending_replacement,42
TBI0010,sham,6,VID_TBI0010_6dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9627,3.0883,True,1.4586,3.3994,0.3342,6.3886,12.9922,22.1737,47.2405,83.5318,0.0257,0.3443,0,False,placeholder_pending_replacement,42
TBI0011,sham,4,VID_TBI0011_4dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9177,0.0,True,1.4361,2.8057,0.2437,3.9394,14.8366,27.2305,23.9369,52.3987,0.1359,0.1657,0,False,placeholder_pending_replacement,42
TBI0011,sham,5,VID_TBI0011_5dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9676,2.4756,True,1.4627,3.993,0.3172,3.1212,11.413,15.8009,35.831,79.0615,0.0,0.1891,0,False,placeholder_pending_replacement,42
TBI0011,sham,6,VID_TBI0011_6dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9592,2.9666,True,1.3072,3.5854,0.2754,3.2571,13.5015,22.1077,47.0574,106.2502,0.0,0.1962,0,False,placeholder_pending_replacement,42
TBI0012,sham,4,VID_TBI0012_4dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.965,3.6977,True,1.6765,4.5409,0.2915,2.4888,11.8637,19.0601,42.9643,84.8594,0.0,0.2368,0,False,placeholder_pending_replacement,42
TBI0012,sham,5,VID_TBI0012_5dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9808,0.0,True,1.1533,2.8827,0.29,4.6024,9.4079,18.7618,33.8359,63.553,0.1377,0.2733,0,False,placeholder_pending_replacement,42
TBI0012,sham,6,VID_TBI0012_6dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.7491,21.1731,False,1.7275,4.5481,0.2701,4.4423,16.0102,23.5779,29.0013,58.0334,0.141,0.1601,0,False,placeholder_pending_replacement,42
TBI0013,sham,4,VID_TBI0013_4dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9893,4.3368,True,1.4022,2.8057,0.2699,5.282,12.3267,18.1319,38.4454,85.4029,0.1284,0.2111,0,False,placeholder_pending_replacement,42
TBI0013,sham,5,VID_TBI0013_5dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.995,2.6298,True,1.9571,3.4032,0.2495,5.4719,12.0669,18.9818,31.518,72.4519,0.0,0.2261,0,False,placeholder_pending_replacement,42
TBI0013,sham,6,VID_TBI0013_6dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.995,6.2742,True,1.7329,4.8036,0.2575,3.2251,14.0255,21.3585,38.3595,69.6258,0.0489,0.1505,0,False,placeholder_pending_replacement,42
TBI0014,sham,4,VID_TBI0014_4dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.7732,21.897,False,1.6486,2.9282,0.2255,4.5854,14.0093,26.6536,26.0015,55.6643,0.0,0.1419,0,False,placeholder_pending_replacement,42
TBI0014,sham,5,VID_TBI0014_5dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9718,1.5647,True,1.7432,3.6111,0.2913,3.5005,17.0571,32.6228,40.2416,91.6717,0.0494,0.2098,0,False,placeholder_pending_replacement,42
TBI0014,sham,6,VID_TBI0014_6dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.932,4.6803,True,1.2706,2.1337,0.2662,1.9197,11.7141,15.2371,33.189,52.8054,0.0786,0.2497,0,False,placeholder_pending_replacement,42
TBI0015,sham,4,VID_TBI0015_4dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9528,2.3909,True,1.3678,2.3524,0.2397,3.074,11.3615,15.6241,50.2531,75.5702,0.0676,0.3007,1,False,placeholder_pending_replacement,42
TBI0015,sham,5,VID_TBI0015_5dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9805,6.2141,True,1.2356,2.8508,0.2167,4.1125,14.981,23.2366,25.6598,45.3614,0.0243,0.1974,0,False,placeholder_pending_replacement,42
TBI0015,sham,6,VID_TBI0015_6dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9621,0.9607,True,2.0371,4.7197,0.2483,5.2991,14.2922,25.2724,38.3662,55.5281,0.0,0.2423,1,False,placeholder_pending_replacement,42
TBI0016,sham,4,VID_TBI0016_4dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9861,0.0,True,2.111,3.8528,0.3071,4.2206,12.6828,21.7636,28.8434,63.1767,0.0,0.214,0,False,placeholder_pending_replacement,42
TBI0016,sham,5,VID_TBI0016_5dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.951,2.7511,True,1.7083,2.8155,0.3526,3.7362,15.1281,24.5561,20.1196,37.6241,0.2105,0.3057,0,False,placeholder_pending_replacement,42
TBI0016,sham,6,VID_TBI0016_6dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9623,2.2437,True,1.6729,4.3579,0.2463,2.6579,20.9295,28.9299,34.6147,50.3244,0.0,0.2594,1,False,placeholder_pending_replacement,42
TBI0017,sham,4,VID_TBI0017_4dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.995,0.0,True,1.1005,2.2711,0.2689,4.4739,15.6682,24.3346,33.4181,58.5604,0.0666,0.1797,0,False,placeholder_pending_replacement,42
TBI0017,sham,5,VID_TBI0017_5dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9813,2.7807,True,1.8811,4.817,0.2554,3.7347,12.525,21.699,27.3548,59.5712,0.1311,0.197,0,False,placeholder_pending_replacement,42
TBI0017,sham,6,VID_TBI0017_6dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.8911,0.0559,False,2.9741,6.2639,0.0882,7.8713,23.0936,31.102,73.8956,142.889,0.3366,1.2414,1,False,placeholder_pending_replacement,42
TBI0018,sham,4,VID_TBI0018_4dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9085,2.3803,True,2.6898,4.6611,0.0688,7.1447,22.6971,44.6959,72.8759,112.1546,0.53,1.2166,1,False,placeholder_pending_replacement,42
TBI0018,sham,5,VID_TBI0018_5dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9508,1.4259,True,1.2499,2.2644,0.2541,2.5648,14.9684,24.3572,22.7993,39.9639,0.1339,0.2767,0,False,placeholder_pending_replacement,42
TBI0018,sham,6,VID_TBI0018_6dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9607,0.0,True,1.195,2.4961,0.1463,3.6956,13.4348,22.8086,28.6043,54.2608,0.1926,0.332,0,False,placeholder_pending_replacement,42
TBI0019,sham,4,VID_TBI0019_4dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9614,1.9375,True,1.3871,3.3475,0.2536,2.2113,12.1149,22.6564,26.1711,42.1808,0.1434,0.2668,0,False,placeholder_pending_replacement,42
TBI0019,sham,5,VID_TBI0019_5dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9064,4.8741,True,1.6468,3.4452,0.3235,3.8011,15.6506,25.598,26.3754,57.3833,0.0009,0.1562,0,False,placeholder_pending_replacement,42
TBI0019,sham,6,VID_TBI0019_6dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.967,1.3082,True,1.6923,3.1639,0.2788,3.717,12.8486,24.3182,34.3058,60.3533,0.0,0.0887,0,False,placeholder_pending_replacement,42
TBI0020,sham,4,VID_TBI0020_4dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9535,4.2265,True,1.0557,2.3263,0.3138,4.0108,13.3887,22.1407,20.2311,38.9323,0.1005,0.2695,0,False,placeholder_pending_replacement,42
TBI0020,sham,5,VID_TBI0020_5dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9475,2.6035,True,1.5213,4.0469,0.3509,5.5488,11.9114,17.9972,33.7917,70.732,0.0203,0.2406,1,False,placeholder_pending_replacement,42
TBI0020,sham,6,VID_TBI0020_6dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9534,8.0241,True,1.7945,2.9297,0.2459,1.9557,9.8542,19.4221,27.745,56.5724,0.0,0.2876,0,False,placeholder_pending_replacement,42
TBI0021,sham,4,VID_TBI0021_4dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9659,2.6001,True,1.3644,3.038,0.3565,5.4656,14.2928,25.7117,24.4758,44.1213,0.0,0.2728,0,False,placeholder_pending_replacement,42
TBI0021,sham,5,VID_TBI0021_5dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.995,7.7888,True,1.8,3.1718,0.2351,3.1954,12.0309,21.4809,27.4749,55.1497,0.1959,0.2633,0,False,placeholder_pending_replacement,42
TBI0021,sham,6,VID_TBI0021_6dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9674,0.0,True,1.8635,4.0851,0.2834,2.2492,14.632,23.8183,23.0286,52.1822,0.254,0.3271,1,False,placeholder_pending_replacement,42
TBI0022,sham,4,VID_TBI0022_4dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9718,2.7843,True,1.0121,2.3269,0.2915,3.9993,14.1191,28.1741,39.6859,90.9303,0.0,0.1854,0,False,placeholder_pending_replacement,42
TBI0022,sham,5,VID_TBI0022_5dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9276,0.0,True,1.6115,4.0468,0.2584,5.9218,11.2979,19.0685,27.3014,38.7418,0.0218,0.2137,0,False,placeholder_pending_replacement,42
TBI0022,sham,6,VID_TBI0022_6dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.951,1.4444,True,1.6312,4.4756,0.2771,3.7283,16.0356,26.3921,29.0338,48.4935,0.0577,0.1112,0,False,placeholder_pending_replacement,42
TBI0023,sham,4,VID_TBI0023_4dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9801,2.5139,True,1.3872,3.804,0.2002,4.5889,12.6501,16.5518,23.3941,48.8169,0.0,0.2235,1,False,placeholder_pending_replacement,42
TBI0023,sham,5,VID_TBI0023_5dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9549,0.901,True,3.0346,5.6391,0.0763,8.242,24.9483,47.4441,78.9298,137.3679,0.4672,1.393,1,False,placeholder_pending_replacement,42
TBI0023,sham,6,VID_TBI0023_6dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9691,1.3909,True,2.8669,5.1123,0.1397,7.6681,30.7242,54.7282,62.3784,89.9893,0.3042,1.1942,1,False,placeholder_pending_replacement,42
TBI0024,sham,4,VID_TBI0024_4dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9748,3.9997,True,1.4794,3.4347,0.2346,3.6232,14.5951,26.7776,25.8623,42.8364,0.0,0.1242,0,False,placeholder_pending_replacement,42
TBI0024,sham,5,VID_TBI0024_5dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9485,4.0801,True,1.1959,2.6345,0.35,4.8564,13.9694,27.6566,44.7218,73.0285,0.0455,0.3079,1,False,placeholder_pending_replacement,42
TBI0024,sham,6,VID_TBI0024_6dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9305,0.6125,True,1.829,3.3958,0.2253,4.383,16.7679,32.3632,37.2803,63.6891,0.3266,0.3191,0,False,placeholder_pending_replacement,42
TBI0025,sham,4,VID_TBI0025_4dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9664,0.0,True,1.5409,3.1777,0.2939,3.7452,12.9735,19.9443,20.7447,35.165,0.0,0.1286,0,False,placeholder_pending_replacement,42
TBI0025,sham,5,VID_TBI0025_5dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9221,1.2296,True,1.5765,3.9794,0.3053,5.1321,11.5864,21.5444,17.5348,34.0556,0.267,0.3258,0,False,placeholder_pending_replacement,42
TBI0025,sham,6,VID_TBI0025_6dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9756,5.1506,True,1.5624,4.318,0.2336,4.088,13.9159,25.7348,33.5455,76.1761,0.373,0.1858,0,False,placeholder_pending_replacement,42
TBI0026,sham,4,VID_TBI0026_4dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9819,1.1635,True,1.7548,3.027,0.2319,2.6018,14.6729,29.3434,36.8077,66.6152,0.0732,0.2299,0,False,placeholder_pending_replacement,42
TBI0026,sham,5,VID_TBI0026_5dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9399,0.0,True,1.6847,2.9714,0.2928,4.7839,12.8798,19.6302,48.9691,84.7906,0.0575,0.2377,0,False,placeholder_pending_replacement,42
TBI0026,sham,6,VID_TBI0026_6dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9848,4.9551,True,1.7193,2.9424,0.3186,3.6173,12.6315,21.3903,35.5012,53.7456,0.1177,0.1973,0,False,placeholder_pending_replacement,42
TBI0027,sham,4,VID_TBI0027_4dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9302,4.8737,True,1.2577,2.072,0.2682,3.8827,11.2925,20.4387,29.5602,42.5329,0.2167,0.2014,0,False,placeholder_pending_replacement,42
TBI0027,sham,5,VID_TBI0027_5dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9536,3.716,True,1.5887,3.3107,0.2612,4.6209,16.3681,22.1983,36.8676,60.3323,0.0,0.1214,0,False,placeholder_pending_replacement,42
TBI0027,sham,6,VID_TBI0027_6dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.7677,16.042,False,2.9306,6.617,0.1824,10.2061,35.7176,57.0899,66.0,139.6542,0.2688,1.3906,1,False,placeholder_pending_replacement,42
TBI0028,sham,4,VID_TBI0028_4dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9424,0.0,True,1.5533,2.5013,0.1627,4.6717,7.3416,9.7869,43.7595,91.2835,0.0471,0.3624,0,False,placeholder_pending_replacement,42
TBI0028,sham,5,VID_TBI0028_5dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.94,2.025,True,2.7181,5.9379,0.0316,9.1951,28.972,39.8394,81.6741,131.7429,0.6014,1.5615,1,False,placeholder_pending_replacement,42
TBI0028,sham,6,VID_TBI0028_6dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9826,0.0,True,3.2415,7.0589,0.1024,6.9086,30.0057,51.0126,80.9848,116.9555,0.3428,1.3862,1,False,placeholder_pending_replacement,42
TBI0029,sham,4,VID_TBI0029_4dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9185,2.1824,True,1.1464,1.9036,0.3199,5.7638,11.7651,16.4723,26.9433,42.4013,0.1186,0.3484,0,False,placeholder_pending_replacement,42
TBI0029,sham,5,VID_TBI0029_5dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.7685,19.6917,False,1.5696,3.0335,0.2957,2.7369,16.2191,21.6902,38.5547,86.6062,0.4366,0.3264,0,False,placeholder_pending_replacement,42
TBI0029,sham,6,VID_TBI0029_6dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9659,0.0,True,1.7353,4.2145,0.2707,3.4007,12.7003,16.6569,34.622,78.3247,0.1135,0.1479,0,False,placeholder_pending_replacement,42
TBI0030,sham,4,VID_TBI0030_4dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.988,6.1477,True,1.3965,3.2466,0.3254,4.719,14.7467,23.2592,40.0693,57.5848,0.0975,0.2309,0,False,placeholder_pending_replacement,42
TBI0030,sham,5,VID_TBI0030_5dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9711,3.1201,True,1.7411,3.0456,0.2668,3.5172,17.2471,25.9874,27.6641,61.4693,0.2037,0.2182,0,False,placeholder_pending_replacement,42
