fish_id,group,high_burden_state_dpf6_TRUTH,split
LZTBI-0109,tbi_low,0,train
LZTBI-0110,tbi_moderate,0,train
LZTBI-0111,tbi_moderate,0,train
LZTBI-0112,sham,0,train
LZTBI-0113,tbi_high,0,test
LZTBI-0114,tbi_moderate,1,train
LZTBI-0115,sham,1,train
LZTBI-0116,sham,0,test
LZTBI-0117,tbi_moderate,1,train
LZTBI-0118,sham,0,test
LZTBI-0119,sham,0,test
LZTBI-0120,sham,0,train
LZTBI-0121,tbi_moderate,0,test
LZTBI-0122,tbi_moderate,0,train
LZTBI-0123,tbi_moderate,0,test
LZTBI-0124,tbi_low,0,train
LZTBI-0125,tbi_high,1,train
LZTBI-0126,tbi_high,0,train
LZTBI-0127,tbi_low,0,train
LZTBI-0128,tbi_moderate,1,train
LZTBI-0129,tbi_low,0,train
LZTBI-0130,sham,0,test
LZTBI-0131,sham,0,train
LZTBI-0132,tbi_high,1,train
LZTBI-0133,tbi_high,1,train
LZTBI-0134,tbi_high,1,train
LZTBI-0135,tbi_low,1,train
LZTBI-0136,sham,0,train
LZTBI-0137,tbi_low,0,train
LZTBI-0138,tbi_high,0,train
LZTBI-0139,tbi_moderate,0,train
LZTBI-0140,tbi_moderate,0,train
LZTBI-0141,tbi_low,0,train
LZTBI-0142,tbi_low,0,train
LZTBI-0143,tbi_high,0,train
LZTBI-0144,sham,0,test
LZTBI-0145,sham,0,train
LZTBI-0146,tbi_high,0,test
LZTBI-0147,tbi_low,0,train
LZTBI-0148,tbi_high,1,test
LZTBI-0149,tbi_moderate,0,train
LZTBI-0150,tbi_high,1,train
LZTBI-0151,tbi_high,1,test
LZTBI-0152,tbi_moderate,0,test
LZTBI-0153,tbi_moderate,0,train
LZTBI-0154,tbi_moderate,0,test
LZTBI-0155,sham,0,train
LZTBI-0156,tbi_high,0,train
LZTBI-0157,sham,1,train
LZTBI-0158,tbi_low,0,test
LZTBI-0159,tbi_moderate,0,test
LZTBI-0160,tbi_low,1,train
LZTBI-0161,tbi_low,0,test
LZTBI-0162,tbi_low,0,train
LZTBI-0163,tbi_high,0,test
LZTBI-0164,sham,0,train
LZTBI-0165,tbi_high,1,train
LZTBI-0166,sham,0,train
LZTBI-0167,sham,0,test
LZTBI-0168,tbi_low,0,test
LZTBI-0169,tbi_high,0,train
LZTBI-0170,tbi_moderate,0,test
LZTBI-0171,tbi_high,0,train
LZTBI-0172,tbi_high,0,train
LZTBI-0173,tbi_low,0,train
LZTBI-0174,tbi_moderate,1,train
LZTBI-0175,sham,0,train
LZTBI-0176,tbi_moderate,0,train
LZTBI-0177,tbi_high,0,train
LZTBI-0178,tbi_low,0,train
LZTBI-0179,tbi_high,0,train
LZTBI-0180,tbi_moderate,1,train
LZTBI-0181,sham,0,test
LZTBI-0182,tbi_high,0,train
LZTBI-0183,tbi_moderate,0,train
LZTBI-0184,tbi_low,0,train
LZTBI-0185,tbi_low,0,train
LZTBI-0186,tbi_low,0,train
LZTBI-0187,tbi_low,0,train
LZTBI-0188,tbi_low,0,test
LZTBI-0189,tbi_moderate,0,test
LZTBI-0190,sham,0,train
LZTBI-0191,tbi_low,0,test
LZTBI-0192,tbi_low,0,test
LZTBI-0193,tbi_low,0,train
LZTBI-0194,tbi_high,0,test
LZTBI-0195,sham,1,test
LZTBI-0196,tbi_moderate,1,train
LZTBI-0197,tbi_moderate,1,train
LZTBI-0198,sham,0,train
LZTBI-0199,tbi_moderate,1,test
LZTBI-0200,sham,0,train
LZTBI-0201,sham,0,train
LZTBI-0202,tbi_moderate,0,train
LZTBI-0203,tbi_low,0,test
LZTBI-0204,tbi_low,0,train
LZTBI-0205,tbi_low,0,train
LZTBI-0206,sham,0,test
LZTBI-0207,sham,0,train
LZTBI-0208,tbi_moderate,0,train
LZTBI-0209,tbi_high,1,train
LZTBI-0210,tbi_high,1,train
LZTBI-0211,sham,0,train
LZTBI-0212,tbi_moderate,1,train
LZTBI-0213,sham,0,train
LZTBI-0214,tbi_high,1,train
LZTBI-0215,tbi_high,1,train
LZTBI-0216,tbi_high,1,train
LZTBI-0217,tbi_moderate,0,train
LZTBI-0218,tbi_moderate,0,test
LZTBI-0219,tbi_high,0,train
LZTBI-0220,tbi_moderate,0,train
LZTBI-0221,tbi_moderate,0,test
LZTBI-0222,tbi_high,1,train
LZTBI-0223,tbi_low,1,test
LZTBI-0224,sham,0,train
LZTBI-0225,sham,0,test
LZTBI-0226,sham,0,train
LZTBI-0227,tbi_moderate,0,train
LZTBI-0228,tbi_low,0,test
LZTBI-0229,tbi_low,0,test
LZTBI-0230,sham,0,test
LZTBI-0231,tbi_high,1,train
LZTBI-0232,tbi_low,0,train
LZTBI-0233,sham,0,train
LZTBI-0234,tbi_moderate,0,train
LZTBI-0235,sham,0,test
LZTBI-0236,tbi_high,0,train
LZTBI-0237,tbi_moderate,0,train
LZTBI-0238,tbi_high,0,train
LZTBI-0239,tbi_high,0,train
LZTBI-0240,tbi_moderate,1,train
